p,get_nuscr_time,w/ nuScr,w/o nuScr
OnlineWallet,0.4994933605194092,0.5919477939605713,0.09245443344116211
OnlineWallet,0.5331590175628662,0.6257238388061523,0.09256482124328613
OnlineWallet,0.5176048278808594,0.610020637512207,0.09241580963134766
OnlineWallet,0.5467031002044678,0.6397829055786133,0.09307980537414551
OnlineWallet,0.5392060279846191,0.6306521892547607,0.0914461612701416
OnlineWallet,0.5480189323425293,0.640040397644043,0.09202146530151367
OnlineWallet,0.5170879364013672,0.6095504760742188,0.09246253967285156
Http,0.35289454460144043,0.4257011413574219,0.07280659675598145
Http,0.35067009925842285,0.42337536811828613,0.07270526885986328
Http,0.3517289161682129,0.42429161071777344,0.07256269454956055
Http,0.36089658737182617,0.43292999267578125,0.07203340530395508
Http,0.38846325874328613,0.4613308906555176,0.07286763191223145
Http,0.35079383850097656,0.42235422134399414,0.07156038284301758
Http,0.3576517105102539,0.4291403293609619,0.07148861885070801
Http,0.35088467597961426,0.42295026779174805,0.07206559181213379
Http,0.3524489402770996,0.42465877532958984,0.07220983505249023
Http,0.36054468154907227,0.4342210292816162,0.07367634773254395
Battleships,0.5676894187927246,0.7631585597991943,0.19546914100646973
Battleships,0.5704121589660645,0.7625670433044434,0.1921548843383789
Battleships,0.5487246513366699,0.7446475028991699,0.1959228515625
Battleships,0.5526323318481445,0.7491848468780518,0.19655251502990723
Battleships,0.5781455039978027,0.7697000503540039,0.19155454635620117
Battleships,0.5632030963897705,0.7595117092132568,0.19630861282348633
Battleships,0.5492579936981201,0.7428359985351562,0.19357800483703613
Battleships,0.5081632137298584,0.7020306587219238,0.19386744499206543
Battleships,0.5414495468139648,0.7360129356384277,0.1945633888244629
Battleships,0.5071191787719727,0.699838399887085,0.1927192211151123
Bank,0.7127780914306641,0.9267561435699463,0.21397805213928223
Bank,0.7529664039611816,0.9663009643554688,0.2133345603942871
Bank,0.7296149730682373,0.9465625286102295,0.2169475555419922
Bank,0.6840875148773193,0.8963239192962646,0.2122364044189453
Bank,0.704045295715332,0.9200229644775391,0.21597766876220703
Bank,0.7011942863464355,0.9197816848754883,0.21858739852905273
Bank,0.7069194316864014,0.9244651794433594,0.217545747756958
Bank,0.7105598449707031,0.9285256862640381,0.21796584129333496
Bank,0.72662353515625,0.9425249099731445,0.21590137481689453
Bank,0.7303512096405029,0.9442954063415527,0.2139441967010498

